지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),1시간 최다강수량(mm)
108,서울,2021-11-18,11.9,7.7,25,16.2,1410,2.08,,
108,서울,2021-11-19,12.9,10.2,2356,16.7,1425,,,
108,서울,2021-11-20,10.4,6.8,728,15.6,1446,,,
108,서울,2021-11-21,10.4,7.6,2358,13.1,1350,2.92,,
108,서울,2021-11-22,2.7,-.6,2342,7.5,1,2.92,,
108,서울,2021-11-23,-.6,-3.7,728,2.3,1519,,,
108,서울,2021-11-24,4.1,-2.6,248,9.1,1330,.17,,
108,서울,2021-11-25,5.7,2.6,2352,9.9,1356,,,
108,서울,2021-11-26,2.9,-.5,556,7.2,1214,.83,,
108,서울,2021-11-27,3.4,-1.4,730,10.1,1503,,,
108,서울,2021-11-28,5.1,-1.3,743,12.4,1415,,,
108,서울,2021-11-29,7.6,2.5,606,13.7,1541,,,
108,서울,2021-11-30,5.7,.7,2356,8.9,1334,13.75,,
108,서울,2021-12-01,-1.3,-3,2335,1.5,1541,,,
108,서울,2021-12-02,1.3,-4.6,724,5,2029,2.58,,
108,서울,2021-12-03,1.9,-1.8,2348,4.6,319,2,,
108,서울,2021-12-04,1.4,-2.7,420,7,1454,,,
108,서울,2021-12-05,2.9,-2.3,728,9.6,1423,,,
108,서울,2021-12-06,5.4,-.7,654,12.1,1421,,,
108,서울,2021-12-07,6.8,2.6,721,13.3,1512,,,
108,서울,2021-12-08,6.7,1.9,731,13.3,1456,,,
108,서울,2021-12-09,6.5,2.7,526,9.7,1440,,,
108,서울,2021-12-10,7,5.8,2139,8.2,1441,2.78,,
108,서울,2021-12-11,6,4.4,753,9.8,1338,,,
108,서울,2021-12-12,1.2,-3.8,2342,5.1,7,,,
108,서울,2021-12-13,-2.2,-5.9,640,1.9,1540,,,
108,서울,2021-12-14,3.7,-.7,1,8.2,1349,7.58,,
108,서울,2021-12-15,7.2,5.4,2358,10,1226,4.25,,
108,서울,2021-12-16,6.4,3.3,2355,9.8,1322,.38,,
108,서울,2021-12-17,-5.6,-10.1,2333,3.2,1,,,
108,서울,2021-12-18,-5.7,-11.2,801,-1.8,1402,4.33,,
108,서울,2021-12-19,-.8,-5.8,811,4.2,1544,1.17,,
108,서울,2021-12-20,5.2,-.9,1,11.1,1336,.33,,
108,서울,2021-12-21,5.2,.8,2358,8.9,1508,,,
108,서울,2021-12-22,2.2,-2.6,717,8.2,1512,,,
108,서울,2021-12-23,2.7,-1.5,716,8.3,1451,,,
108,서울,2021-12-24,-.3,-7.3,2400,3.2,1157,2.33,,
108,서울,2021-12-25,-11.7,-14.4,2258,-7.3,1,,,
108,서울,2021-12-26,-12.1,-15.5,817,-7.3,1526,,,
108,서울,2021-12-27,-7.6,-12.9,123,-3.9,1634,2.08,,
108,서울,2021-12-28,-4.1,-8.5,712,-.9,1600,,,
108,서울,2021-12-29,.4,-3.8,154,5.9,1518,1.58,,
108,서울,2021-12-30,-3.9,-6.8,714,.2,1531,.5,,
108,서울,2021-12-31,-6.7,-8.8,745,-3.9,1510,,,
108,서울,2022-01-01,-4.3,-10.2,710,2.3,1544,,,
108,서울,2022-01-02,-1.3,-5.2,2356,3,1551,4.17,,
108,서울,2022-01-03,-1.9,-8,714,2.5,1542,4,,
108,서울,2022-01-04,-2.5,-5.6,2400,1,1445,.92,,
108,서울,2022-01-05,-2.8,-7.8,634,1.9,1518,,,
108,서울,2022-01-06,-2.2,-5.9,745,3.3,1604,,,
108,서울,2022-01-07,-1.6,-5.9,634,4.5,1525,,,
108,서울,2022-01-08,.3,-5,729,3.7,1623,.17,,
108,서울,2022-01-09,1.3,-1.2,2353,5.6,1522,,,
108,서울,2022-01-10,.5,-3.4,735,4.4,1348,3.83,,
108,서울,2022-01-11,-7.4,-10.3,2326,.3,1,1.5,,
108,서울,2022-01-12,-7.7,-11.3,223,-3.4,1521,,,
108,서울,2022-01-13,-6.4,-8.9,2352,-3.1,1456,,,
108,서울,2022-01-14,-4.8,-10.1,750,1.3,1526,,,
108,서울,2022-01-15,-1,-5.3,426,1.8,1545,.92,,
108,서울,2022-01-16,-2,-7.2,2352,2.4,208,.42,,
108,서울,2022-01-17,-5.8,-9.2,518,.1,1317,4.92,,
108,서울,2022-01-18,-5.6,-9.9,744,-.7,1514,,,
108,서울,2022-01-19,-5.3,-7.7,2357,-2.7,1558,7.08,,
108,서울,2022-01-20,-5,-9.8,605,.9,1603,,,
108,서울,2022-01-21,-2.7,-8.7,755,4.6,1534,,,
108,서울,2022-01-22,.3,-5,734,7.1,1512,,,
108,서울,2022-01-23,2,-.6,549,6.7,1411,,,
108,서울,2022-01-24,4.6,1.3,1,8.4,1329,,,
108,서울,2022-01-25,2.8,1.9,822,4.5,1,11.75,,
108,서울,2022-01-26,1.3,-1.9,639,6.8,1429,,,
108,서울,2022-01-27,-1.1,-4.6,757,4,1541,,,
108,서울,2022-01-28,-2.7,-5.9,811,2.1,1516,,,
108,서울,2022-01-29,-3.6,-7.2,741,.9,1531,,,
108,서울,2022-01-30,-2.8,-8,713,2.4,1629,,,
108,서울,2022-01-31,-.7,-6.8,736,4.8,1507,2.75,,
108,서울,2022-02-01,-1.3,-2.7,2345,.9,1601,4.83,,
